0.6, 0.107024
0.573244, 0.107024
0.548546, 0.0987904
0.53769, 0.0434272
0.528248, 0.0377665
0.521809, 0.0257576
0.517621, 0.0167481
0.51417, 0.0138047
0.511347, 0.0112933
0.508518, 0.0113171
0.506783, 0.00693797
0.505362, 0.00568357
0.504315, 0.0041893
0.503142, 0.00469107
0.502598, 0.00217522
0.501969, 0.00251923
0.501675, 0.00117354
0.501358, 0.00126752
0.501181, 0.00071121
0.501008, 0.000690118
0.50088, 0.000513898
0.500741, 0.000554492
0.500646, 0.000379735
0.500557, 0.000356967
0.500498, 0.00023551
0.500454, 0.000175286
0.500422, 0.00012621
0.500388, 0.000136129
0.500362, 0.000107375
0.500362, 5.27633e-05
